@relation retail
@attribute 'GreenTea' { t}
@attribute 'Butter' { t}
@attribute 'ThermalWear' { t}
@attribute 'HandBags' { t}
@attribute 'BathroomCleaner' { t}
@attribute 'Umbrella' { t}
@attribute 'Coffee' { t}
@attribute 'Egg' { t}
@attribute 'Socks' { t}
@attribute 'Water' { t}
@attribute 'Kettle' { t}
@attribute 'Bacon' { t}
@attribute 'Swimsuit' { t}
@attribute 'Sugar' { t}
@attribute 'Fruits' { t}
@attribute 'Wine' { t}
@attribute 'Soda' { t}
@attribute 'Sprayer' { t}
@attribute 'Stationary' { t}
@attribute 'ShavingCream' { t}
@attribute 'FluMedicine' { t}
@attribute 'HosePipe' { t}
@attribute 'RainBoots' { t}
@attribute 'Milk' { t}
@attribute 'CannedBeer' { t}
@attribute 'CleaningBrush' { t}
@attribute 'TentSupply' { t}
@attribute 'HandSanitizer' { t}
@attribute 'Detergents' { t}
@attribute 'Hats' { t}
@attribute 'SunShades' { t}
@attribute 'IceCream' { t}
@attribute 'KitchenCleaner' { t}
@attribute 'ShampooConditioner' { t}
@attribute 'FiplFlops' { t}
@attribute 'Curd' { t}
@attribute 'SuncreenLotion' { t}
@attribute 'Flour' { t}
@attribute 'Gloves' { t}
@attribute 'MosquitoRepellant' { t}
@attribute 'Cheese' { t}
@attribute 'Bread' { t}
@attribute 'Moisturizer' { t}
@attribute 'Diaper' { t}
@attribute 'SportsWear' { t}
@attribute 'Vegetables' { t}
@attribute 'Wipes' { t}
@attribute 'PottedPlants' { t}
@attribute 'ShowerGel' { t}
@attribute 'PartyDecorations' { t}
@attribute 'Weather' {Moderate,Low,Rainy,High}
@data
?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,Moderate
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Moderate
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Moderate
?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,Moderate
?,?,t,?,t,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Low
?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,Moderate
?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?,High
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Moderate
?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Low
?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Moderate
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,t,?,?,?,?,?,?,Moderate
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,Low
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,Moderate
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Moderate
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,Rainy
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,Moderate
?,?,?,?,t,?,t,?,?,t,t,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Rainy
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Moderate
?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,Moderate
